remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;BAR-EB6F2F;Metformina, cloridrato - comprimido 850 mg;Metformina, cloridrato;850 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-AB72BE;Metildopa - comprimido 250 mg;Metildopa;250 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-50DB6C;Metilprednisolona (acetato) 500 mg - PO - frasco/ampola;Metilprednisolona (acetato);500 mg;pó;ampola;UPA;;;ativo
23/09/2026;BAR-73E6AE;Metoclopramida cloridrato 5 mg- 2 mL - ampola;Metoclopramida cloridrato;5 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-ADE2DD;Metoclopramida, cloridrato - comprimido 10 mg;Metoclopramida, cloridrato;10 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-B4EDB1;Metoclopramida, cloridrato - solução injetável 5 mg/mL;Metoclopramida, cloridrato;5 mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-365742;Metoclopramida, cloridrato - solução oral gotas 4 mg/mL;Metoclopramida, cloridrato;4 mg/mL;solução oral;;UBS;;oral;ativo
23/09/2026;BAR-DB26EF;Metoprolol tartarato 1 mg/mL -5 mL - ampola;Metoprolol tartarato;1 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-9F89B5;Metoprolol, succinato - comprimido 100 mg;Metoprolol, succinato;100 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-F80D48;Metoprolol, succinato - comprimido 25 mg;Metoprolol, succinato;25 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-223A8D;Metoprolol, succinato - comprimido 50 mg;Metoprolol, succinato;50 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-AC5B66;Metronidazol - comprimido 250 mg;Metronidazol;250 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-F12D1E;Metronidazol - comprimido 400 mg;Metronidazol;400 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-435B6A;Metronidazol - creme ou gel vaginal 100 mg/g (10%);Metronidazol;100 mg/g (10%);creme;;UBS;;tópica;ativo
23/09/2026;BAR-96F418;Metronidazol - suspensão oral 40 mg/mL (benzoilmetronidazol);Metronidazol;40 mg/mL;suspensão oral;;UBS;;oral;ativo
23/09/2026;BAR-1F31BD;Metronidazol 250 mg - comprimido;Metronidazol;250 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-3AF11D;Metronidazol 500 mg - 100 mL - bolsa;Metronidazol;500 mg;;bolsa;UPA;;;ativo
23/09/2026;BAR-FE6A9D;Miconazol, nitrato - creme dermatológico 20 mg/g (2%);Miconazol, nitrato;20 mg/g (2%);creme dermatológico;;UBS;;tópica;ativo
23/09/2026;BAR-5CA349;Miconazol, nitrato - creme vaginal 20 mg/g;Miconazol, nitrato;20 mg/g;creme vaginal;;UBS;;vaginal;ativo
23/09/2026;BAR-917DC5;Midazolam maleato 5 mg/mL - 3 mL - ampola;Midazolam maleato;5 mg/mL;;ampola;UPA;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;;ativo
23/09/2026;BAR-6580E6;Midazolam maleato 50 mg/mL - 10 mL - ampola;Midazolam maleato;50 mg/mL;;ampola;UPA;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;;ativo
23/09/2026;BAR-C134F9;Morfina sulfato 10 mg/mL - 1 mL - ampola;Morfina sulfato;10 mg/mL;;ampola;UPA;Notificação de Receita A (amarela) — entorpecente/psicotrópico, Portaria 344/98. Prescrição em receituário especial.;;ativo
23/09/2026;BAR-C8C17A;Naloxona 0,4 mg/mL AMP 1 mL - ampola;Naloxona;0,4 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-64278B;Nevirapina (NVP) - comprimido 200 mg;Nevirapina (NVP);200 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-914B7B;Nevirapina (NVP) - suspensão oral 10 mg/mL;Nevirapina (NVP);10 mg/mL;suspensão oral;;CTA/CEM;;oral;ativo
23/09/2026;BAR-C538F8;Nicotina - adesivo transdérmico 14 mg;Nicotina;14 mg;adesivo transdérmico;;CAF;;transdérmica;ativo
23/09/2026;BAR-625EEA;Nicotina - adesivo transdérmico 21 mg;Nicotina;21 mg;adesivo transdérmico;;CAF;;transdérmica;ativo
23/09/2026;BAR-8539B8;Nicotina - adesivo transdérmico 7 mg;Nicotina;7 mg;adesivo transdérmico;;CAF;;transdérmica;ativo
23/09/2026;BAR-C57973;Nifedipina 20 mg RETARD - comprimido;Nifedipina;20 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-C9C0A5;Nifedipino - comprimido 10mg;Nifedipino;10mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-539E6E;Nitrofurantoína - cápsula 100 mg;Nitrofurantoína;100 mg;cápsula;;UBS;;oral;ativo
23/09/2026;BAR-5FC583;Nitroglicerina 50 mg - 10 mL - ampola;Nitroglicerina;50 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-F9D79C;Nitroprusseto de Sódio 25 mg - 2 mL - frasco/ampola;Nitroprusseto de Sódio;25 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-19183C;Nitroprusseto de sódio 25 mg-2 mL - ampola;Nitroprusseto de sódio;25 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-007709;Norepinefrina hemitartarato 2 mg - 4 mL - ampola;Norepinefrina hemitartarato;2 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-58E8A1;Noretisterona - comprimido 0,35 mg;Noretisterona;0,35 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-AE8B9D;Noretisterona, enantato + estradiol, valerato - solução injetável 50 mg/mL + 5 mg/mL;Noretisterona, enantato + estradiol, valerato;50 mg/mL + 5 mg/mL;solução injetável;;UBS;;injetável;ativo
23/09/2026;BAR-07D073;Nortriptilina, cloridrato - comprimido 25 mg;Nortriptilina, cloridrato;25 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-C14E12;Nortriptilina, cloridrato - comprimido 50 mg;Nortriptilina, cloridrato;50 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-15C623;Óleo Mineral 100%-100 mL - frasco;Óleo Mineral;100%;;frasco;UPA;;;ativo
23/09/2026;BAR-70D8F8;Omeprazol - cápsula 20 mg;Omeprazol;20 mg;cápsula;;UBS;;oral;ativo
23/09/2026;BAR-35B64D;Omeprazol 20 mg - cápsula;Omeprazol;20 mg;cápsula;;UPA;;oral;ativo
23/09/2026;BAR-409B68;Omeprazol 40 mg - frasco/ampola;Omeprazol;40 mg;;ampola;UPA;;;ativo
