codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
CON-096B42;Beclometasona Dipropionato 200mcg - Solução para Inalação Oral;Beclometasona Dipropionato;200mcg;solução;via de administração não inferida
CON-BB5921;Beclometasona Dipropionato 250mcg - Solução para Inalação Oral;Beclometasona Dipropionato;250mcg;solução;via de administração não inferida
CON-1038A9;Beclometasona Dipropionato 50mcg - Solução para Inalação Oral;Beclometasona Dipropionato;50mcg;solução;via de administração não inferida
CON-02943D;Dispositivo Intrauterino TCu 380A;Dispositivo Intrauterino TCu 380A;;;quebra automática incerta · via de administração não inferida
CON-EC5725;Ipratrópio Brometo 0,25mg/ml - Solução para Inalação;Ipratrópio Brometo;0,25mg/ml;solução;via de administração não inferida
