remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;BET-F5C09A;Carbamazepina 200mg - Comprimido;Carbamazepina;200mg;comprimido;;UBS, UPA, CERSAM, CAPS-AD, CERSAMI, HPRB;;oral;ativo
23/09/2026;BET-619591;Carbamazepina 20mg/ml (2%) - Suspensão Oral;Carbamazepina;20mg/ml (2%);suspensão oral;;;;oral;ativo
23/09/2026;BET-4E720C;Carbonato de Cálcio 1250mg (500mg Cálcio Elementar) - Comprimido;Carbonato de Cálcio;1250mg;comprimido;;;;oral;ativo
23/09/2026;BET-AD2E3D;Carbonato de Lítio 300mg - Comprimido;Carbonato de Lítio;300mg;comprimido;;;;oral;ativo
23/09/2026;BET-DAA6C8;Carvedilol 12,5mg - Comprimido;Carvedilol;12,5mg;comprimido;;UBS, UPA, HPRB;;oral;ativo
23/09/2026;BET-09E9CC;Carvedilol 3,125mg - Comprimido;Carvedilol;3,125mg;comprimido;;UBS, UPA, HPRB;;oral;ativo
23/09/2026;BET-0F0AEC;Carvão Ativado - Pó para Suspensão Oral;Carvão Ativado;;pó para suspensão oral;;UPA, HPRB;;oral;ativo
23/09/2026;BET-4C0C96;Cefalexina 500mg - Comprimido ou Cápsula;Cefalexina;500mg;comprimido;;UBS, UPA, SEPADI, HPRB, PID;;oral;ativo
23/09/2026;BET-C878FE;Cefalexina 50mg/ml (5%) - Pó para Suspensão Oral;Cefalexina;50mg/ml (5%);pó para suspensão oral;;UBS, UPA, HPRB;;oral;ativo
23/09/2026;BET-4C568C;Cefazolina 1g - Pó Liofilizado Injetável;Cefazolina;1g;pó liofilizado;;UPA, HPRB, PID;;injetável;ativo
23/09/2026;BET-F24614;Cefepima 1g - Pó Liofilizado Injetável;Cefepima;1g;pó liofilizado;;UPA, HPRB, PID;;injetável;ativo
23/09/2026;BET-04AECE;Cefotaxima Sódica 1g - Pó para Solução Injetável;Cefotaxima Sódica;1g;pó para solução injetável;;;;injetável;ativo
23/09/2026;BET-1753AF;Ceftazidima + Avibactam 2.000mg + 500mg - Pó para Solução Injetável;Ceftazidima + Avibactam;2.000mg + 500mg;pó para solução injetável;;;;injetável;ativo
23/09/2026;BET-84B023;Ceftazidima 1g - Pó para Solução Injetável;Ceftazidima;1g;pó para solução injetável;;;;injetável;ativo
23/09/2026;BET-204A2D;Ceftriaxona 1g - Pó para Solução Injetável;Ceftriaxona;1g;pó para solução injetável;;;;injetável;ativo
23/09/2026;BET-B9DA60;Cetoconazol 20mg/g - Creme Dermatológico;Cetoconazol;20mg/g;creme dermatológico;;;;tópica;ativo
23/09/2026;BET-211DCC;Cetoprofeno 100mg - Pó para Solução Injetável;Cetoprofeno;100mg;pó para solução injetável;;UBS, UPA, HPRB, SAMU;;injetável;ativo
23/09/2026;BET-8F5EB2;Cianocobalamina 2500mcg/ml - Solução Injetável;Cianocobalamina;2500mcg/ml;solução injetável;;;;injetável;ativo
23/09/2026;BET-2D782F;Cianocobalamina 500mcg/ml - Solução Injetável;Cianocobalamina;500mcg/ml;solução injetável;;;;injetável;ativo
23/09/2026;BET-68BF3A;Ciclobenzaprina 5mg - Comprimido;Ciclobenzaprina;5mg;comprimido;;;;oral;ativo
23/09/2026;BET-44DFCD;Ciclofosfamida 1000mg - Pó para Solução Injetável;Ciclofosfamida;1000mg;pó para solução injetável;;;;injetável;ativo
23/09/2026;BET-53C1F7;Ciclopentolato 10mg/ml (1%) - Solução Oftálmica;Ciclopentolato;10mg/ml (1%);solução oftálmica;;;;oftálmica;ativo
23/09/2026;BET-C57F62;Ciprofloxacino 2mg/ml - Solução Injetável;Ciprofloxacino;2mg/ml;solução injetável;;UPA, HPRB, PID;;injetável;ativo
23/09/2026;BET-DC6B6D;Ciprofloxacino 3,5mg/ml - Solução Oftálmica;Ciprofloxacino;3,5mg/ml;solução oftálmica;;;;oftálmica;ativo
23/09/2026;BET-34F604;Ciprofloxacino 500mg - Comprimido;Ciprofloxacino;500mg;comprimido;;UBS, UPA, SEPADI, HPRB;;oral;ativo
23/09/2026;BET-4E2B10;Ciproterona Acetato 50mg - Comprimido;Ciproterona Acetato;50mg;comprimido;;;;oral;ativo
23/09/2026;BET-37CEBD;Cisatracúrio Besilato 2mg/ml - Solução Injetável;Cisatracúrio Besilato;2mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;BET-FD60E2;Claritromicina 500mg - Comprimido;Claritromicina;500mg;comprimido;;;;oral;ativo
23/09/2026;BET-85CE62;Claritromicina 500mg - Pó para Solução Injetável;Claritromicina;500mg;pó para solução injetável;;;;injetável;ativo
23/09/2026;BET-924761;Clindamicina 150mg/ml - Solução Injetável;Clindamicina;150mg/ml;solução injetável;;UPA, HPRB, PID, UPA;;injetável;ativo
23/09/2026;BET-50B5FF;Clindamicina 300mg - Cápsula;Clindamicina;300mg;cápsula;;SEPADI, HPRB, PID, UPA;;oral;ativo
23/09/2026;BET-DE92DD;Clobazam 10mg - Comprimido;Clobazam;10mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;BET-E5C73F;Clomipramina 25mg - Comprimido;Clomipramina;25mg;comprimido;;;;oral;ativo
23/09/2026;BET-555A06;Clomipramina 75mg - Comprimido;Clomipramina;75mg;comprimido;;;;oral;ativo
23/09/2026;BET-503AD6;Clonazepam 2,5mg/ml - Solução Oral;Clonazepam;2,5mg/ml;solução oral;;UBS, UPA, CERSAM, CAPS-AD, CERSAMI, HPRB;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;BET-8423B8;Clonazepam 2mg - Comprimido;Clonazepam;2mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;BET-7547F6;Clonidina 0,15mg/ml - Solução Injetável;Clonidina;0,15mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;BET-539B92;Clopidogrel 75mg - Comprimido;Clopidogrel;75mg;comprimido;;CX EMERGÊNCIA, UPA, HPRB, CIMUC, SAMU;;oral;ativo
23/09/2026;BET-91EA4C;Cloreto de Potássio 100mg/ml (10%) - Solução Injetável;Cloreto de Potássio;100mg/ml (10%);solução injetável;;UPA, HPRB, SAMU, CIMUC;;injetável;ativo
23/09/2026;BET-834607;Cloreto de Potássio 60mg/ml - Solução Oral;Cloreto de Potássio;60mg/ml;solução oral;;UBS, UPA, HPRB;;oral;ativo
23/09/2026;BET-8349EC;Cloreto de Sódio 100mg/ml (10%) - Solução Injetável;Cloreto de Sódio;100mg/ml (10%);solução injetável;;UPA, HPRB, PID;;injetável;ativo
23/09/2026;BET-306F63;Cloreto de Sódio 200mg/ml (20%) - Solução Injetável;Cloreto de Sódio;200mg/ml (20%);solução injetável;;;;injetável;ativo
23/09/2026;BET-70A097;Cloreto de Sódio 9mg/ml (0,9%) - Solução Injetável;Cloreto de Sódio;9mg/ml (0,9%);solução injetável;;;;injetável;ativo
23/09/2026;BET-8A18F3;Clorpromazina 100mg - Comprimido;Clorpromazina;100mg;comprimido;;;;oral;ativo
23/09/2026;BET-F887D4;Clorpromazina 25mg - Comprimido;Clorpromazina;25mg;comprimido;;;;oral;ativo
23/09/2026;BET-AB9573;Clorpromazina 40mg/ml - Solução Oral;Clorpromazina;40mg/ml;solução oral;;UBS, UPA, CERSAM, CAPS-AD, CERSAMI, HPRB;;oral;ativo
23/09/2026;BET-DCA38E;Clorpromazina 5mg/ml - Solução Injetável;Clorpromazina;5mg/ml;solução injetável;;UPA, CERSAM, CAPS-AD, CERSAMI, HPRB, SAMU;;injetável;ativo
23/09/2026;BET-D518A1;Codeína 30mg - Comprimido;Codeína;30mg;comprimido;;UBS, UPA, HPRB;;oral;ativo
23/09/2026;BET-DC1556;Colagenase Sem Cloranfenicol 0,6 U/g - Pomada Dermatológica;Colagenase Sem Cloranfenicol 0,6 U/g;;pomada;;UBS, UPA, PAD, HPRB, PID;;tópica;ativo
23/09/2026;BET-2F78A0;Colagenase Sem Cloranfenicol 1,2 U/g - Pomada Dermatológica;Colagenase Sem Cloranfenicol 1,2 U/g;;pomada;;UBS, UPA, PAD, HPRB, PID;;tópica;ativo
23/09/2026;BET-B237FA;Colchicina 0,5mg - Comprimido;Colchicina;0,5mg;comprimido;;;;oral;ativo
23/09/2026;BET-DCAB55;Colecalciferol (Vitamina D3) 200ui/gota - Solução Oral;Colecalciferol (Vitamina D3);200ui;solução oral;;;;oral;ativo
23/09/2026;BET-C8251B;Contraste Iodado Hidrossolúvel, Não Iônico 300 a 350mg/ml de iodo - Solução Injetável;Contraste Iodado Hidrossolúvel, Não Iônico 300 a;350mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;BET-EC488C;Dantroleno 20mg - Pó para Solução Injetável;Dantroleno;20mg;pó para solução injetável;;;;injetável;ativo
23/09/2026;BET-8D07BF;Dapsona + Rifampicina + Clofazimina 100mg + 300mg + (100 e 50mg) - Comprimido;Dapsona + Rifampicina + Clofazimina;100mg + 300mg;comprimido;;;;oral;ativo
23/09/2026;BET-D6F801;Dapsona + Rifampicina + Clofazimina 50mg + 150mg + 50mg - Comprimido;Dapsona + Rifampicina + Clofazimina;50mg + 150mg + 50mg;comprimido;;;;oral;ativo
23/09/2026;BET-A4B817;Daptomicina 500mg - Pó para Solução Injetável;Daptomicina;500mg;pó para solução injetável;;;;injetável;ativo
23/09/2026;BET-4C59B6;Deslanosídeo 0,2mg/ml - Solução Injetável;Deslanosídeo;0,2mg/ml;solução injetável;;CX EMERGÊNCIA, UPA, HPRB, SEPADI, CIMUC, SAMU;;injetável;ativo
23/09/2026;BET-8B1D9C;Desmopressina Acetato 4mcg/ml - Solução Injetável;Desmopressina Acetato;4mcg/ml;solução injetável;;;;injetável;ativo
23/09/2026;BET-84D106;Dexametasona 1mg/g - Creme;Dexametasona;1mg/g;creme;;;;tópica;ativo
23/09/2026;BET-65DFC7;Dexametasona 1mg/ml - Suspensão Oftálmica;Dexametasona;1mg/ml;suspensão;;;;;ativo
23/09/2026;BET-55F858;Dexametasona 4mg - Comprimido;Dexametasona;4mg;comprimido;;;;oral;ativo
23/09/2026;BET-37A913;Dexametasona 4mg/ml - Solução Injetável;Dexametasona;4mg/ml;solução injetável;;UBS, UPA, CERSAM, CAPS-AD, CERSAMI, HPRB, CREDFB;;injetável;ativo
23/09/2026;BET-E8AA75;Dexmedetomidina 100mcg/ml - Solução Injetável;Dexmedetomidina;100mcg/ml;solução injetável;;HPRB, UPA;;injetável;ativo
23/09/2026;BET-57DB0B;Dextrana + Hipromelose 1mg/ml + 3mg/ml - Solução Oftálmica;Dextrana + Hipromelose;1mg/ml + 3mg/ml;solução oftálmica;;UBS, UPA, HPRB;;oftálmica;ativo
23/09/2026;BET-606C2C;Diazepam 10mg - Comprimido;Diazepam;10mg;comprimido;;UBS, CERSAM, CAPS-AD, CERSAMI, UPA, HPRB;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;BET-649143;Diazepam 5mg/ml - Solução Injetável;Diazepam;5mg/ml;solução injetável;;UBS, CX EMERGÊNCIA, UPA, CERSAM, CAPS-AD, CERSAMI, SEPADI, HPRB, CIMUC, SAMU;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;injetável;ativo
23/09/2026;BET-A65147;Digoxina 0,25mg - Comprimido;Digoxina;0,25mg;comprimido;;UBS, UPA, HPRB;;oral;ativo
23/09/2026;BET-378A00;Diltiazem 30mg - Comprimido;Diltiazem;30mg;comprimido;;;;oral;ativo
23/09/2026;BET-40E3BA;Dipirona 500mg - Comprimido;Dipirona;500mg;comprimido;;UBS, UPA, CERSAM, CAPS-AD, CERSAMI, HPRB, SAMU;;oral;ativo
23/09/2026;BET-718131;Dipirona 500mg/ml - Solução Injetável;Dipirona;500mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;BET-C0969B;Dipirona 500mg/ml - Solução Oral;Dipirona;500mg/ml;solução oral;;;;oral;ativo
23/09/2026;BET-3FE04E;Dobutamina 12,5mg/ml - Solução Injetável;Dobutamina;12,5mg/ml;solução injetável;;UPA, HPRB, SAMU;;injetável;ativo
