codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
ITA-F599B5;Insulina Humana NPH 100ui/ml - Caneta Aplicadora Descartável 3ml;Insulina Humana NPH;100ui/ml;;quebra automática incerta · via de administração não inferida
ITA-135195;Insulina Humana Regular 100ui/ml - Caneta Aplicadora Descartável 3ml;Insulina Humana Regular;100ui/ml;;quebra automática incerta · via de administração não inferida
ITA-6B8286;Sais para Reidratação Oral;Sais para Reidratação Oral;;;quebra automática incerta · via de administração não inferida
ITA-F6E3BC;Salbutamol 100mcg/dose - Inalador Dosimetrado;Salbutamol;100mcg/dose;;quebra automática incerta · via de administração não inferida
