remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;PIR-BF1591;Cloreto de Sódio 9mg/ml (0,9%) - Solução Nasal;Cloreto de Sódio;9mg/ml (0,9%);solução nasal;;;;nasal;ativo
23/09/2026;PIR-DF4A8D;Cloridrato de Amiodarona 200mg - Comprimido;Cloridrato de Amiodarona;200mg;comprimido;;;;oral;ativo
23/09/2026;PIR-4E7DB8;Cloridrato de Amitriptilina 25mg - Comprimido;Cloridrato de Amitriptilina;25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-21E95C;Cloridrato de Amitriptilina 75mg - Comprimido;Cloridrato de Amitriptilina;75mg;comprimido;;;;oral;ativo
23/09/2026;PIR-BB092E;Cloridrato de Biperideno 2mg - Comprimido;Cloridrato de Biperideno;2mg;comprimido;;;;oral;ativo
23/09/2026;PIR-E0DA32;Cloridrato de Ciprofloxacino 500mg - Comprimido revestido;Cloridrato de Ciprofloxacino;500mg;comprimido revestido;;;;oral;ativo
23/09/2026;PIR-2BC29A;Cloridrato de Clindamicina 300mg - Cápsula gelatinosa dura;Cloridrato de Clindamicina;300mg;cápsula;;;;oral;ativo
23/09/2026;PIR-F18954;Cloridrato de Clonidina 0,10mg - Comprimido;Cloridrato de Clonidina;0,10mg;comprimido;;;;oral;ativo
23/09/2026;PIR-783382;Cloridrato de Clorpromazina 100mg - Comprimido;Cloridrato de Clorpromazina;100mg;comprimido;;;;oral;ativo
23/09/2026;PIR-737403;Cloridrato de Clorpromazina 40mg/ml - Solução oral;Cloridrato de Clorpromazina;40mg/ml;solução oral;;;;oral;ativo
23/09/2026;PIR-D8B6EE;Cloridrato de Diltiazem 60mg - Comprimido;Cloridrato de Diltiazem;60mg;comprimido;;;;oral;ativo
23/09/2026;PIR-2B682A;Cloridrato de Dobutamina 12,5mg/ml - Solução injetável;Cloridrato de Dobutamina;12,5mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;PIR-50385A;Cloridrato de Dopamina 5mg/ml - Solução injetável;Cloridrato de Dopamina;5mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;PIR-00DB66;Cloridrato de Hidralazina 25mg - Comprimido;Cloridrato de Hidralazina;25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-B76490;Cloridrato de Hidralazina 50mg - Comprimido;Cloridrato de Hidralazina;50mg;comprimido;;;;oral;ativo
23/09/2026;PIR-27C2F4;Cloridrato de Lidocaína + Hemitartarato de Epinefrina 2% + 1:200.000 (20mg + 20mcg/mL) - Solução injetável;Cloridrato de Lidocaína + Hemitartarato de Epinefrina;2%;solução injetável;;;;injetável;ativo
23/09/2026;PIR-14844F;Cloridrato de Lidocaína 20mg/ml (2%) - Solução injetável;Cloridrato de Lidocaína;20mg/ml (2%);solução injetável;;;;injetável;ativo
23/09/2026;PIR-5AC9E9;Cloridrato de Lidocaína 20mg/ml - Gel/Geleia;Cloridrato de Lidocaína;20mg/ml;gel;;;;tópica;ativo
23/09/2026;PIR-11C951;Cloridrato de Naloxona 0,4mg/ml - Solução injetável;Cloridrato de Naloxona;0,4mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;PIR-780D9A;Cloridrato de Ondansetrona 2mg/ml - Solução injetável;Cloridrato de Ondansetrona;2mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;PIR-E27A78;Cloridrato de Prometazina 25mg/ml - Solução injetável;Cloridrato de Prometazina;25mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;PIR-EC6C15;Cloridrato de Propranolol 10mg - Comprimido;Cloridrato de Propranolol;10mg;comprimido;;;;oral;ativo
23/09/2026;PIR-BAA775;Cloridrato de Propranolol 40mg - Comprimido;Cloridrato de Propranolol;40mg;comprimido;;;;oral;ativo
23/09/2026;PIR-0EF5C4;Cloridrato de Protamina 10mg/ml - Solução injetável;Cloridrato de Protamina;10mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;PIR-A185A1;Cloridrato de Sertralina 50mg - Comprimido revestido;Cloridrato de Sertralina;50mg;comprimido revestido;;;;oral;ativo
23/09/2026;PIR-A97D45;Cloridrato de Tansulosina 0,4mg - Cápsula dura de liberação prolongada;Cloridrato de Tansulosina;0,4mg;cápsula dura;;;;oral;ativo
23/09/2026;PIR-736E3A;Cloridrato de Tiamina + Fosfato Sódico de Riboflavina + Nicotinamida + Dexpantenol + Cloridrato de Piridoxina 4mg + 1mg + 20mg + 3mg + 2mg/ml - Solução injetável;Cloridrato de Tiamina + Fosfato Sódico de Riboflavina + Nicotinamida + Dexpantenol + Cloridrato de Piridoxina;4mg + 1mg + 20mg + 3mg + 2mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;PIR-EA5FA2;Cloridrato de Tramadol 50mg - Cápsula gelatinosa dura;Cloridrato de Tramadol;50mg;cápsula;;;;oral;ativo
23/09/2026;PIR-EF5F9C;Colagenase 6U/g - Pomada dermatológica;Colagenase 6U/g;;pomada;;;;tópica;ativo
23/09/2026;PIR-E4BEA5;Dapagliflozina Propanodiol Monoidratado 10mg - Comprimido revestido;Dapagliflozina Propanodiol Monoidratado;10mg;comprimido revestido;;;;oral;ativo
23/09/2026;PIR-DF3C6C;Dexametasona 1mg/g - Creme dermatológico;Dexametasona;1mg/g;creme dermatológico;;;;tópica;ativo
23/09/2026;PIR-EC2F3E;Dexametasona 4mg - Comprimido;Dexametasona;4mg;comprimido;;;;oral;ativo
23/09/2026;PIR-7CB9F7;Dexametasona 4mg/ml - Solução injetável;Dexametasona;4mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;PIR-3BC1C6;Diazepam 5mg - Comprimido;Diazepam;5mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;PIR-291C74;Diazepam 5mg/ml - Solução injetável;Diazepam;5mg/ml;solução injetável;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;injetável;ativo
23/09/2026;PIR-AA92CB;Diclofenaco Sódico 25mg/ml - Solução injetável;Diclofenaco Sódico;25mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;PIR-1AFF0D;Digoxina 0,05mg/ml - Elixir;Digoxina;0,05mg/ml;elixir;;;;oral;ativo
23/09/2026;PIR-A70DFA;Digoxina 0,25mg - Comprimido;Digoxina;0,25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-5BA2B1;Dinitrato de Isossorbida 5mg - Comprimido sublingual;Dinitrato de Isossorbida;5mg;comprimido sublingual;;;;sublingual;ativo
23/09/2026;PIR-D2A300;Diosmina + Hesperidina 50mg + 450mg - Comprimido revestido;Diosmina + Hesperidina;50mg + 450mg;comprimido revestido;;;;oral;ativo
23/09/2026;PIR-E734D8;Dipirona 500mg - Comprimido;Dipirona;500mg;comprimido;;;;oral;ativo
23/09/2026;PIR-497FAA;Dipirona 500mg/ml - Solução injetável;Dipirona;500mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;PIR-971356;Dipirona 500mg/ml - Solução oral;Dipirona;500mg/ml;solução oral;;;;oral;ativo
23/09/2026;PIR-D68866;Dipropionato de Beclometasona 200mcg/dose - Solução aerosol;Dipropionato de Beclometasona;200mcg/dose;solução;;;;;ativo
23/09/2026;PIR-86F4AF;Dipropionato de Beclometasona 25mcg/dose - Solução aerosol;Dipropionato de Beclometasona;25mcg/dose;solução;;;;;ativo
23/09/2026;PIR-F28276;Divalproato de Sódio 250mg - Comprimido revestido de liberação prolongada;Divalproato de Sódio;250mg;comprimido revestido;;;;oral;ativo
23/09/2026;PIR-348506;Divalproato de Sódio 500mg - Comprimido revestido de liberação prolongada;Divalproato de Sódio;500mg;comprimido revestido;;;;oral;ativo
23/09/2026;PIR-93A463;Epinefrina 1mg/ml - Solução injetável;Epinefrina;1mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;PIR-553175;Espironolactona 25mg - Comprimido;Espironolactona;25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-122749;Estriol 1mg/g - Creme vaginal;Estriol;1mg/g;creme vaginal;;;;vaginal;ativo
