remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;VAR-787E86;Metoprolol 50mg - Comprimido de Liberação Prolongada;Metoprolol;50mg;comprimido de liberação prolongada;;;;oral;ativo
23/09/2026;VAR-02F5C8;Metronidazol 100mg/g (10%) - Gel Vaginal;Metronidazol;100mg/g (10%);gel;;;;tópica;ativo
23/09/2026;VAR-54188A;Metronidazol 250mg - Comprimido;Metronidazol;250mg;comprimido;;;;oral;ativo
23/09/2026;VAR-CF2C8D;Miconazol 20mg/g - Creme Dermatológico;Miconazol;20mg/g;creme dermatológico;;;;tópica;ativo
23/09/2026;VAR-1B8393;Miconazol 20mg/g - Creme Ginecológico;Miconazol;20mg/g;creme;;;;tópica;ativo
23/09/2026;VAR-9E677F;Montelucaste 10mg - Comprimido;Montelucaste;10mg;comprimido;;;;oral;ativo
23/09/2026;VAR-151172;Neomicina + Bacitracina 50mg - Pomada;Neomicina + Bacitracina;50mg;pomada;;;;tópica;ativo
23/09/2026;VAR-DDB81B;Nifedipino Retard 20mg - Comprimido;Nifedipino Retard;20mg;comprimido;;;;oral;ativo
23/09/2026;VAR-170058;Nistatina 100.000UI/ml - Suspensão Oral;Nistatina;100.000UI/ml;suspensão oral;;;;oral;ativo
23/09/2026;VAR-23FAE8;Nistatina 60mg - Creme Vaginal;Nistatina;60mg;creme vaginal;;;;vaginal;ativo
23/09/2026;VAR-B045EF;Nitrofurantoína 100mg - Cápsula;Nitrofurantoína;100mg;cápsula;;;;oral;ativo
23/09/2026;VAR-180562;Noretisterona + Estradiol 50mg+5mg/ml - Solução Injetável (Ampola);Noretisterona + Estradiol;50mg +5mg/ml;solução injetável;Ampola;;;injetável;ativo
23/09/2026;VAR-650281;Noretisterona 0,35mg - Comprimido;Noretisterona;0,35mg;comprimido;;;;oral;ativo
23/09/2026;VAR-C7025E;Nortriptilina 25mg - Cápsula;Nortriptilina;25mg;cápsula;;;;oral;ativo
