codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
SAN-E56BF5;Cloreto de Sódio 0,9mg/ml (9%) - Frasco 50ml;Cloreto de Sódio;0,9mg/ml (9%);;quebra automática incerta · via de administração não inferida
SAN-DB786E;Dispositivo Intra-Uterino (DIU) de Cobre - Unidade;Dispositivo Intra-Uterino (DIU) de Cobre - Unidade;;;quebra automática incerta · via de administração não inferida
SAN-FBBBA1;Insulina Humana NPH 100UI/mL - Suspensão;Insulina Humana NPH;100UI/mL;suspensão;via de administração não inferida
SAN-B8E205;Insulina Humana Regular 100UI/mL - Solução;Insulina Humana Regular;100UI/mL;solução;via de administração não inferida
SAN-D00E62;Levomepromazina 40mg/mL - Solução;Levomepromazina;40mg/mL;solução;via de administração não inferida
SAN-3C8311;Lidocaína 2% - Geléia;Lidocaína;2%;geleia;via de administração não inferida
SAN-6455F2;Periciazina 40mg/mL - Solução;Periciazina;40mg/mL;solução;via de administração não inferida
