codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
MEN-DD19F9;Furosemida 10mg/ml - Ampola;Furosemida;10mg/ml;;quebra automática incerta · via de administração não inferida
MEN-31FA6A;Gentamicina 80mg/2ml - Ampola;Gentamicina;80mg/2ml;;quebra automática incerta · via de administração não inferida
MEN-B006AB;Gliconato de Cálcio 10% - Ampola;Gliconato de Cálcio;10%;;quebra automática incerta · via de administração não inferida
MEN-52506A;Glicose 25% - Frasco Ampola;Glicose;25%;;quebra automática incerta · via de administração não inferida
MEN-10FD0F;Glicose 50% - Frasco Ampola;Glicose;50%;;quebra automática incerta · via de administração não inferida
MEN-7B95A6;Haloperidol 5mg/ml - Ampola;Haloperidol;5mg/ml;;quebra automática incerta · via de administração não inferida
MEN-CE6EFE;Heparina Sódica 5000ui/ml - Ampola;Heparina Sódica;5000ui/ml;;quebra automática incerta · via de administração não inferida
MEN-33C7A8;Hidralazina 20mg/ml - Ampola;Hidralazina;20mg/ml;;quebra automática incerta · via de administração não inferida
MEN-0C3F3C;Hidrocortisona 100mg - Frasco Ampola;Hidrocortisona;100mg;;quebra automática incerta · via de administração não inferida
MEN-A969B1;Hidrocortisona 500mg - Frasco Ampola;Hidrocortisona;500mg;;quebra automática incerta · via de administração não inferida
MEN-315AC6;Insulina NPH - Frasco Ampola;Insulina NPH - Frasco Ampola;;;quebra automática incerta · via de administração não inferida
MEN-EF22FF;Insulina Regular - Frasco Ampola;Insulina Regular - Frasco Ampola;;;quebra automática incerta · via de administração não inferida
MEN-63F749;Levofloxacino 5mg/ml - Bolsa;Levofloxacino;5mg/ml;;quebra automática incerta · via de administração não inferida
MEN-AE9AB6;Lidocaína + Epinefrina 2% - Frasco Ampola;Lidocaína + Epinefrina;2%;;quebra automática incerta · via de administração não inferida
MEN-9422BF;Lidocaína 10% - Spray;Lidocaína;10%;spray;via de administração não inferida
MEN-98B784;Lidocaína 2% - Ampola;Lidocaína;2%;;quebra automática incerta · via de administração não inferida
MEN-1AD7FC;Lidocaína 2% - Geleia;Lidocaína;2%;geleia;via de administração não inferida
MEN-AE4F01;Lidocaína 2% Sem Vasoconstritor - Frasco Ampola;Lidocaína;2%;;quebra automática incerta · via de administração não inferida
MEN-85D6DC;Meropenem 1g - Frasco Ampola;Meropenem;1g;;quebra automática incerta · via de administração não inferida
MEN-04FEB6;Midazolam 5mg/ml - Ampola;Midazolam;5mg/ml;;quebra automática incerta · via de administração não inferida
MEN-FBE06A;Naloxona 0,4mg/ml - Ampola;Naloxona;0,4mg/ml;;quebra automática incerta · via de administração não inferida
MEN-327BA1;Nitroglicerina 5mg/ml - Ampola;Nitroglicerina;5mg/ml;;quebra automática incerta · via de administração não inferida
MEN-FAA448;Nitroprussiato de Sódio 50mg - Ampola;Nitroprussiato de Sódio;50mg;;quebra automática incerta · via de administração não inferida
MEN-440376;Norepinefrina 8mg/4ml - Ampola;Norepinefrina;8mg/4ml;;quebra automática incerta · via de administração não inferida
MEN-7F783E;Ocitocina 5ui/ml - Ampola;Ocitocina;5ui/ml;;quebra automática incerta · via de administração não inferida
MEN-4B7111;Omeprazol 40mg - Frasco Ampola;Omeprazol;40mg;;quebra automática incerta · via de administração não inferida
MEN-56B22B;Oxacilina 500mg - Frasco Ampola;Oxacilina;500mg;;quebra automática incerta · via de administração não inferida
MEN-12C425;Reidratante Oral 27,9g - Envelope;Reidratante Oral;27,9g;;quebra automática incerta · via de administração não inferida
MEN-3F25FC;Sais para Reidratação Oral - Envelope;Sais para Reidratação Oral - Envelope;;;quebra automática incerta · via de administração não inferida
MEN-ACD173;Sorbitol + Laurilsulfato de Sódio 714mg/g+7,70mg/g - Bisnaga;Sorbitol + Laurilsulfato de Sódio;714mg/g +7,70mg/g;;quebra automática incerta · via de administração não inferida
MEN-25DFA3;Sulfato de Amicacina 250mg/2ml - Ampola;Sulfato de Amicacina;250mg/2ml;;quebra automática incerta · via de administração não inferida
MEN-45E336;Sulfato de Atropina 0,25mg/ml - Ampola;Sulfato de Atropina;0,25mg/ml;;quebra automática incerta · via de administração não inferida
MEN-D73271;Sulfato de Magnésio 10% - Ampola;Sulfato de Magnésio;10%;;quebra automática incerta · via de administração não inferida
MEN-958D24;Sulfato de Magnésio 50% - Ampola;Sulfato de Magnésio;50%;;quebra automática incerta · via de administração não inferida
MEN-1D6CB1;Sulfato de Morfina 10mg/ml - Ampola;Sulfato de Morfina;10mg/ml;;quebra automática incerta · via de administração não inferida
MEN-D945E5;Tartarato de Metoprolol 5mg/ml - Ampola;Tartarato de Metoprolol;5mg/ml;;quebra automática incerta · via de administração não inferida
MEN-EA5CF7;Tenoxicam 40mg - Frasco Ampola;Tenoxicam;40mg;;quebra automática incerta · via de administração não inferida
MEN-B4583D;Vancomicina 500mg - Frasco Ampola;Vancomicina;500mg;;quebra automática incerta · via de administração não inferida
MEN-D0CECC;Vasopressina 20ui/ml - Ampola;Vasopressina;20ui/ml;;quebra automática incerta · via de administração não inferida
MEN-7CCBBD;Vitaminas do Complexo B - Ampola;Vitaminas do Complexo B - Ampola;;;quebra automática incerta · via de administração não inferida
