remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;CON-A0CDBA;Metronidazol 500mg - Injetável;Metronidazol;500mg;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-65705A;Midazolam 5mg/mL - Injetável;Midazolam;5mg/mL;injetável;;URGÊNCIA (USO INTERNO);Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;injetável;ativo
23/09/2026;CON-2B7F06;Mononitrato de Isossorbida 20mg - Comprimido;Mononitrato de Isossorbida;20mg;comprimido;;UBS, FARMÁCIA CENTRAL, URGÊNCIA (USO INTERNO);;oral;ativo
23/09/2026;CON-3E05CA;Mononitrato de Isossorbida 40mg - Comprimido;Mononitrato de Isossorbida;40mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-476DF2;Morfina 10mg/mL - Injetável;Morfina;10mg/mL;injetável;;URGÊNCIA (USO INTERNO);Notificação de Receita A (amarela) — entorpecente/psicotrópico, Portaria 344/98. Prescrição em receituário especial.;injetável;ativo
23/09/2026;CON-B4FD98;Naloxona 0,4mg/mL - Injetável;Naloxona;0,4mg/mL;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-2F6AD4;Neomicina 5mg/g + Bacitracina 250ui/g - Pomada;Neomicina;5mg/g;pomada;;UBS, FARMÁCIA CENTRAL;;tópica;ativo
23/09/2026;CON-8D0DA4;Nifedipino 20mg - Comprimido;Nifedipino;20mg;comprimido;;UBS, FARMÁCIA CENTRAL, URGÊNCIA (USO INTERNO);;oral;ativo
23/09/2026;CON-E20D37;Nimesulida 50mg/mL - Gotas;Nimesulida;50mg/mL;gotas;;UBS, FARMÁCIA CENTRAL;;;ativo
23/09/2026;CON-63D447;Nistatina 25.000ui/g - Creme Vaginal;Nistatina;25.000ui;creme vaginal;;UBS, FARMÁCIA CENTRAL;;vaginal;ativo
23/09/2026;CON-A7BBC1;Nitroglicerina 5mg/mL - Injetável;Nitroglicerina;5mg/mL;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-97CC64;Nitroprussiato de Sódio 25mg/mL - Injetável;Nitroprussiato de Sódio;25mg/mL;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-8B4291;Norepinefrina 2mg/mL - Injetável;Norepinefrina;2mg/mL;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-3AC06A;Noretisterona 0,35mg - Comprimido;Noretisterona;0,35mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-41B4EA;Omeprazol 20mg - Cápsula;Omeprazol;20mg;cápsula;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-D07C72;Omeprazol 40mg - Injetável;Omeprazol;40mg;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-B12BDB;Ondansetrona 2mg/mL - Injetável;Ondansetrona;2mg/mL;injetável;;UBS (USO INTERNO), URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-BA3C9E;Paracetamol 200mg/mL - Gotas;Paracetamol;200mg/mL;gotas;;UBS, FARMÁCIA CENTRAL, URGÊNCIA (USO INTERNO);;;ativo
23/09/2026;CON-C9B398;Paracetamol 500mg - Comprimido;Paracetamol;500mg;comprimido;;UBS, FARMÁCIA CENTRAL, URGÊNCIA (USO INTERNO);;oral;ativo
23/09/2026;CON-B5E10F;Petidina 50mg/mL - Injetável;Petidina;50mg/mL;injetável;;URGÊNCIA (USO INTERNO);Notificação de Receita A (amarela) — entorpecente/psicotrópico, Portaria 344/98. Prescrição em receituário especial.;injetável;ativo
23/09/2026;CON-83588A;Prednisolona 3mg/mL - Solução Oral;Prednisolona;3mg/mL;solução oral;;UBS, FARMÁCIA CENTRAL, URGÊNCIA (USO INTERNO);;oral;ativo
23/09/2026;CON-EC54DE;Prednisona 20mg - Comprimido;Prednisona;20mg;comprimido;;UBS, FARMÁCIA CENTRAL, URGÊNCIA (USO INTERNO);;oral;ativo
23/09/2026;CON-809903;Prednisona 5mg - Comprimido;Prednisona;5mg;comprimido;;UBS, FARMÁCIA CENTRAL, URGÊNCIA (USO INTERNO);;oral;ativo
23/09/2026;CON-BBEFF0;Prometazina 25mg - Comprimido;Prometazina;25mg;comprimido;;UBS, FARMÁCIA CENTRAL, CAPS II (USO INTERNO), CAPS AD (USO INTERNO);;oral;ativo
23/09/2026;CON-30A03F;Prometazina 25mg/mL - Injetável;Prometazina;25mg/mL;injetável;;UBS (USO INTERNO), URGÊNCIA (USO INTERNO), CAPS II (USO INTERNO), CAPS AD (USO INTERNO);;injetável;ativo
23/09/2026;CON-689F2C;Propranolol 40mg - Comprimido;Propranolol;40mg;comprimido;;UBS, FARMÁCIA CENTRAL, URGÊNCIA (USO INTERNO);;oral;ativo
23/09/2026;CON-D9EA0E;Protamina 1000ui/mL - Injetável;Protamina;1000ui/mL;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-93CAFC;PVPI 10% - Solução Aquosa Degermante;PVPI;10%;solução;;URGÊNCIA (USO INTERNO);;;ativo
23/09/2026;CON-9EB965;PVPI 10% - Solução Aquosa Tópica;PVPI;10%;solução;;URGÊNCIA (USO INTERNO);;tópica;ativo
23/09/2026;CON-75AB5E;Ringer com Lactato - Injetável;Ringer com Lactato;;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-101832;Sais para Reidratação Oral - Pacote;Sais para Reidratação Oral - Pacote;;;;UBS, FARMÁCIA CENTRAL, URGÊNCIA (USO INTERNO);;;ativo
23/09/2026;CON-D1A3F7;Salbutamol 100mcg - Aerossol;Salbutamol;100mcg;aerossol;;UBS, FARMÁCIA CENTRAL, URGÊNCIA (USO INTERNO);;inalatória;ativo
23/09/2026;CON-B7E2B2;Simeticona 40mg - Comprimido;Simeticona;40mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-39FE72;Simeticona 75mg/mL - Emulsão Oral;Simeticona;75mg/mL;emulsão;;UBS, FARMÁCIA CENTRAL;;;ativo
23/09/2026;CON-C01570;Sinvastatina 20mg - Comprimido;Sinvastatina;20mg;comprimido;;UBS, FARMÁCIA CENTRAL, URGÊNCIA (USO INTERNO);;oral;ativo
23/09/2026;CON-B6E63C;Succinato de Metoprolol 25mg - Comprimido;Succinato de Metoprolol;25mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-8D27C5;Sulfadiazina de Prata 1% - Creme Tópico;Sulfadiazina de Prata;1%;creme;;UBS (USO INTERNO), URGÊNCIA (USO INTERNO);;tópica;ativo
23/09/2026;CON-9B79CA;Sulfametoxazol 400mg + Trimetoprina 80mg - Comprimido;Sulfametoxazol;400mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-F9A75C;Sulfametoxazol 40mg/mL + Trimetoprina 8mg/mL - Suspensão Oral;Sulfametoxazol;40mg/mL;suspensão oral;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-75F9EC;Sulfato de Magnésio 50% - Injetável;Sulfato de Magnésio;50%;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-403DF3;Sulfato Ferroso 125mg/mL - Gotas;Sulfato Ferroso;125mg/mL;gotas;;UBS, FARMÁCIA CENTRAL;;;ativo
23/09/2026;CON-156960;Sulfato Ferroso 40mg - Comprimido;Sulfato Ferroso;40mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-1DAADE;Sulfato Polimixina B 10.000ui + Fluocinolona 0,250mg + Neomicina 3,5mg + Lidocaína 20mg - Gotas;Sulfato Polimixina B;10.000ui;gotas;;UBS, FARMÁCIA CENTRAL;;;ativo
23/09/2026;CON-B2DD27;Suxametônio 100mg - Injetável;Suxametônio;100mg;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-05C03E;Tetracaína 1% + Fenilefrina 1% - Solução Oftálmica;Tetracaína;1%;solução oftálmica;;URGÊNCIA (USO INTERNO);;oftálmica;ativo
23/09/2026;CON-A3E138;Tiamina 100mg/mL - Injetável;Tiamina;100mg/mL;injetável;;URGÊNCIA (USO INTERNO), CAPS AD (USO INTERNO);;injetável;ativo
23/09/2026;CON-0A5FDD;Tiamina 300mg - Comprimido;Tiamina;300mg;comprimido;;UBS, FARMÁCIA CENTRAL, CAPS AD (USO INTERNO);;oral;ativo
23/09/2026;CON-333FF6;Tiocolchicosídeo 2mg/mL - Injetável;Tiocolchicosídeo;2mg/mL;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-CA48E2;Tramadol 50mg/mL - Injetável;Tramadol;50mg/mL;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-C813EA;Valproato de Sódio 250mg/5mL - Xarope;Valproato de Sódio;250mg/5mL;xarope;;FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-9D1D9D;Varfarina 5mg - Comprimido;Varfarina;5mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-949EC2;Ácido Acetilsalicílico 100mg - Comprimido;Ácido Acetilsalicílico;100mg;comprimido;;UBS, FARMÁCIA CENTRAL, URGÊNCIA (USO INTERNO);;oral;ativo
23/09/2026;CON-FF04B2;Ácido Fólico 0,2mg/mL - Gotas;Ácido Fólico;0,2mg/mL;gotas;;UBS, FARMÁCIA CENTRAL;;;ativo
23/09/2026;CON-17D9BB;Ácido Fólico 5mg - Comprimido;Ácido Fólico;5mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-86BB48;Ácido Tranexâmico 50mg/mL - Injetável;Ácido Tranexâmico;50mg/mL;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-71E4D5;Ácido Valpróico 250mg - Comprimido;Ácido Valpróico;250mg;comprimido;;FARMÁCIA CENTRAL, CAPS II (USO INTERNO), CAPS AD (USO INTERNO);;oral;ativo
23/09/2026;CON-2BA222;Ácido Valpróico 500mg - Comprimido;Ácido Valpróico;500mg;comprimido;;FARMÁCIA CENTRAL, CAPS II (USO INTERNO), CAPS AD (USO INTERNO);;oral;ativo
23/09/2026;CON-E2BEC8;Água para Injetáveis 10ml - Injetável;Água para Injetáveis;10ml;injetável;;UBS (USO INTERNO), URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-E4F170;Água para Injetáveis 500ml - Injetável;Água para Injetáveis;500ml;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-42A1D2;Álcool Etílico 70% - Solução;Álcool Etílico;70%;solução;;URGÊNCIA (USO INTERNO);;;ativo
