remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;ITA-6E468A;Haloperidol 5mg/ml - Injetável (Ampola 1ml);Haloperidol;5mg/ml;injetável;Ampola 1ml;;;injetável;ativo
23/09/2026;ITA-0DB7B0;Haloperidol Decanoato 50mg/ml - Injetável (Ampola 1ml);Haloperidol Decanoato;50mg/ml;injetável;Ampola 1ml;;;injetável;ativo
23/09/2026;ITA-16DA85;Heparina Sódica 5000ui/0,25ml - Injetável;Heparina Sódica;5000ui;injetável;;;;injetável;ativo
23/09/2026;ITA-807D43;Hidralazina 25mg - Comprimido;Hidralazina;25mg;comprimido;;;;oral;ativo
23/09/2026;ITA-8F19EC;Hidroclorotiazida 25mg - Comprimido;Hidroclorotiazida;25mg;comprimido;;;;oral;ativo
23/09/2026;ITA-4851FC;Hidróxido de Alumínio 61,5mg/ml - Xarope;Hidróxido de Alumínio;61,5mg/ml;xarope;;;;oral;ativo
23/09/2026;ITA-2F7707;Ibuprofeno 50mg/ml - Solução Oral (Gotas);Ibuprofeno;50mg/ml;solução oral;;;;oral;ativo
23/09/2026;ITA-4E510E;Ibuprofeno 600mg - Comprimido;Ibuprofeno;600mg;comprimido;;;;oral;ativo
23/09/2026;ITA-D45A45;Imipramina 25mg - Comprimido;Imipramina;25mg;comprimido;;;;oral;ativo
23/09/2026;ITA-F599B5;Insulina Humana NPH 100ui/ml - Caneta Aplicadora Descartável 3ml;Insulina Humana NPH;100ui/ml;;;;;;ativo
23/09/2026;ITA-F0F2A1;Insulina Humana NPH 100ui/ml - Frasco Injetável 10ml;Insulina Humana NPH;100ui/ml;injetável;Frasco;;;injetável;ativo
23/09/2026;ITA-135195;Insulina Humana Regular 100ui/ml - Caneta Aplicadora Descartável 3ml;Insulina Humana Regular;100ui/ml;;;;;;ativo
23/09/2026;ITA-E988DA;Insulina Humana Regular 100ui/ml - Frasco Injetável 10ml;Insulina Humana Regular;100ui/ml;injetável;Frasco;;;injetável;ativo
23/09/2026;ITA-BB2D94;Itraconazol 100mg - Comprimido;Itraconazol;100mg;comprimido;;;;oral;ativo
23/09/2026;ITA-102487;Ivermectina 6mg - Comprimido;Ivermectina;6mg;comprimido;;;;oral;ativo
23/09/2026;ITA-520E39;Levomepromazina 100mg - Comprimido;Levomepromazina;100mg;comprimido;;;;oral;ativo
23/09/2026;ITA-A04EEB;Levotiroxina 100mcg - Comprimido;Levotiroxina;100mcg;comprimido;;;;oral;ativo
23/09/2026;ITA-2534FB;Levotiroxina 25mcg - Comprimido;Levotiroxina;25mcg;comprimido;;;;oral;ativo
23/09/2026;ITA-DA4ABD;Levotiroxina 50mcg - Comprimido;Levotiroxina;50mcg;comprimido;;;;oral;ativo
23/09/2026;ITA-4AD23E;Loratadina 10mg - Comprimido;Loratadina;10mg;comprimido;;;;oral;ativo
23/09/2026;ITA-FF1BBA;Lorazepam 2mg - Comprimido;Lorazepam;2mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;ITA-CCFF86;Losartana 50mg - Comprimido;Losartana;50mg;comprimido;;;;oral;ativo
