codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
MAC-1501D2;Nutrição Parenteral Dupla (sem Lipídeo) - Uso Adulto - bolsa de Np com formulações pré-fabricadas, com concentração fixas de aminoácidos, glicose e eletrólitos, com variedade suficiente para atender pacientes que não podem usar o trato gastrointestinal com alterações metabólicas dos lipídeos, hipometabolismo, insuficiência hepática, insuficiência renal, para administração por via venosa central. Solução de Nutrição Parenteral pré-fabricadas, pronta para o uso em sistema fechado, estéril e apirogência, contendo solução de poliaminoácidos e glicose em bolsa de única ou dupla câmara, relação Kcal/gN entre 80-100, volume final de 1000 – 1300ml, osmolaridade superior a 900 mOsm/litro, para administração central. Devem ser acondicionadas em bolsas de Eva com volume final de 1000 – 1300ml mais volume para preenchimento de equipo de acordo com prescrição médica e Portaria nº272 de 08 de abril de 1998 do Ministério da Saúde.;Nutrição Parenteral Dupla (sem Lipídeo) - Uso Adulto - bolsa de Np com formulações pré-fabricadas, com concentração fixas de aminoácidos, glicose e eletrólitos, com variedade suficiente para atender pacientes que não podem usar o trato gastrointestinal;1300ml;solução;"⚠ PRINCÍPIO ATIVO CORTADO — texto original tinha 398 caracteres (limite do sistema é 255); escolha um nome curto para este item antes de importar · via de administração não inferida"
MAC-646D61;Nutrição Parenteral Tripla Hiperproteica - Uso Adulto – bolsa de Np com formulações pré-fabricadas, com concentrações fixas de aminoácidos, glicose, lipídeos e eletrólitos, com variedade suficiente para atender necessidades especiais de proteínas e lipídeos, que não podem usar o trato gastrointestinal com alterações metabólicas dos lipídeos, hipometabolismo, insuficiência hepática, insuficiência renal, para administração por via venosa central. Solução de Nutrição Parenteral pré-fabricadas, pronta para o uso em sistema fechado, estéril e apirogência, contendo solução de poliaminoácidos (55 a 65 g), lipideos (com 75 a 85% de óleo de oliva) e glicose (100 a 120 g) em bolsa de dupla ou tripla câmara, relação Kcal/gN entre 90-120, volume final de 1000 – 1300ml, osmolaridade superior a 900 mOsm/litro, para administração central. Devem ser acondicionadas em bolsas de Eva com volume final de 1000 – 1300ml mais volume para preenchimento de equipo de acordo com prescrição médica e Portaria nº272 de 08 de abril de 1998 do Ministério da Saúde;Nutrição Parenteral Tripla Hiperproteica - Uso Adulto – bolsa de Np com formulações pré-fabricadas, com concentrações fixas de aminoácidos, glicose, lipídeos e eletrólitos, com variedade suficiente para atender necessidades especiais de proteínas e;85%;solução;"⚠ PRINCÍPIO ATIVO CORTADO — texto original tinha 448 caracteres (limite do sistema é 255); escolha um nome curto para este item antes de importar · concentração corrigida (tamanho de embalagem != concentração) · via de administração não inferida"
MAC-66BEDC;Nutrição Parenteral Uso Adulto - bolsa de Np com formulações pré-fabricadas, concentração fixa de aminoácidos, glicose, lipídios e eletrólitos, com variedade suficiente para atender pacientes que não podem usar o trato gastrointestinal com ou sem alterações metabólicas, hipometabolismo, insuficiência hepática, insuficiência renal, para administração por via venosa central. Solução de Nutrição Parenteral pré-fabricadas, pronta para o uso em sistema fechado, estéril e apirogência, contendo solução de poliaminoácidos, glicose e emulsão lipidica em bolsa de tripla câmara, relação Kcal/gN entre 130-160, volume final de 1000 - 1300ml, osmolaridade superior a 900 mOsm/litro, para administração central. Devem ser acondicionadas em bolsas de Eva com volume final de 1000 – 1300 ml mais volume para preenchimento de equipo de acordo com prescrição médica e Portaria nº272 de 08 de abril de 1998 do Ministério da Saúde.;Nutrição Parenteral Uso Adulto - bolsa de Np com formulações pré-fabricadas, concentração fixa de aminoácidos, glicose, lipídios e eletrólitos, com variedade suficiente para atender pacientes que não podem usar o trato gastrointestinal com ou sem;1300ml;solução;"⚠ PRINCÍPIO ATIVO CORTADO — texto original tinha 375 caracteres (limite do sistema é 255); escolha um nome curto para este item antes de importar · via de administração não inferida"
MAC-62C574;Oleato De Monoetanolamina solução injetável ampola 2ml 50mg/ml;Oleato De Monoetanolamina;50mg/ml;solução injetável;concentração corrigida (tamanho de embalagem != concentração)
MAC-AFE13D;Oxacilina f/a sódica 500mg pó liof.para solução injetável;Oxacilina f/a sódica;500mg;pó;via de administração não inferida
MAC-CB93A0;Piperacilina 4,0g + Tazobactam sódico 0,5G (4,5G) pó liof para solução injetável;Piperacilina;4,0g;pó;via de administração não inferida
MAC-7BDAFD;Plantago (Plantago ovata Forssk.) Pó Para Dispersão Oral Envelope (5 A 6 G);Plantago (Plantago ovata Forssk.);6 G;pó;via de administração não inferida
MAC-E40175;Poliestirenossulfonato De Cálcio 900 mg/g pó oral envelope 30g;Poliestirenossulfonato De Cálcio;900 mg/g;pó;via de administração não inferida
MAC-76A7DC;Ritonavir (RTV) 100mg Pó Suspensão Oral;Ritonavir (RTV);100mg;pó;via de administração não inferida
MAC-B57CA7;Saccharomyces sachê 1g Boulardii 17 200mg pó oral;Saccharomyces sachê;1g;pó;via de administração não inferida
