codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
MAC-D49FEF;Meio De Contraste De Baixa Osmolaridade Não Iônico frasco 500ml (iobitridol 300mg/ml solução injetável frasco 500ml);Meio De Contraste De Baixa Osmolaridade Não Iônico frasco;300mg/ml;solução injetável;concentração corrigida (tamanho de embalagem != concentração)
MAC-F2F369;Metoclopramida, oral cloridrato 4mg/ml (0,4%) solução frasco 10ml;Metoclopramida, oral cloridrato;4mg/ml (0,4%);solução;via de administração não inferida
MAC-C37CDB;MICONAZOL,nitrato 80g + aplicador 20mg/g (2%) creme vaginal bisnaga;MICONAZOL,nitrato;20mg/g (2%);creme vaginal;concentração corrigida (tamanho de embalagem != concentração)
MAC-D269D8;MICONAZOL,nitrato bisnaga 28/30g 20mg/g (2%) creme dermatológico;MICONAZOL,nitrato bisnaga 28/;20mg/g (2%);creme dermatológico;concentração corrigida (tamanho de embalagem != concentração)
MAC-BD5E2B;Milrinona, 10ml lactato 1mg/ml solução injetável ampola;Milrinona;1mg/ml;solução injetável;concentração corrigida (tamanho de embalagem != concentração)
MAC-F00B47;Neostigmina, metilsulfato 0,5mg/ml ampola 1ml;Neostigmina, metilsulfato;0,5mg/ml;;quebra automática incerta · via de administração não inferida
MAC-1FEEC5;Nicotina 14mg;Nicotina;14mg;;quebra automática incerta · via de administração não inferida
MAC-D204EA;Nicotina 21mg;Nicotina;21mg;;quebra automática incerta · via de administração não inferida
MAC-CC5FFA;Nicotina 7mg;Nicotina;7mg;;quebra automática incerta · via de administração não inferida
MAC-948644;Nitrato De Prata 5g - bastão;Nitrato De Prata;5g;;quebra automática incerta · via de administração não inferida
MAC-064877;Nitroglicerina 10ml 5mg/ml solução injetável ampola;Nitroglicerina;5mg/ml;solução injetável;concentração corrigida (tamanho de embalagem != concentração)
MAC-703756;Nitroprusseto De Sódio 50mg pó liof para injetável + diluente ampola 2ml ou 25mg/ml solução injetável ampola 2ml;Nitroprusseto De Sódio;25mg/ml;pó;concentração corrigida (tamanho de embalagem != concentração) · via de administração não inferida
MAC-627B81;Noretisterona, enantato 50mg + Estradiol, valerato 5mg/ml solução injetável ampola 1ml + seringa;Noretisterona, enantato;5mg/ml;solução injetável;concentração corrigida (tamanho de embalagem != concentração)
