codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
VAR-5E1322;Dipropionato de Betametasona + Fosfato Dissódico de Betametasona 5mg/ml+2mg/ml - Ampola;Dipropionato de Betametasona + Fosfato Dissódico de Betametasona;5mg/ml +2mg/ml;;quebra automática incerta · via de administração não inferida
VAR-3F542F;Formoterol 5mg/ml - Solução para Inalação;Formoterol;5mg/ml;solução;via de administração não inferida
VAR-EBC24D;Ipratrópio 0,25mg/ml - Solução para Inalação;Ipratrópio;0,25mg/ml;solução;via de administração não inferida
VAR-E2AE04;Preservativo Masculino - Envelope;Preservativo Masculino - Envelope;;;quebra automática incerta · via de administração não inferida
VAR-8FF167;Prometazina 25mg/ml - Ampola;Prometazina;25mg/ml;;quebra automática incerta · via de administração não inferida
VAR-17A9CB;Soro Fisiológico 100ml - Bolsa;Soro Fisiológico;100ml;;quebra automática incerta · via de administração não inferida
VAR-978D78;Tiras de Glicemia Capilar - Insulino Dependentes;Tiras de Glicemia Capilar - Insulino Dependentes;;;quebra automática incerta · via de administração não inferida
VAR-B187EF;Ácido Fólico 0,2mg/ml - Solução;Ácido Fólico;0,2mg/ml;solução;via de administração não inferida
