remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;SET-F1427E;Losartana 25mg;Losartana;25mg;;;;;;ativo
23/09/2026;SET-DD3D29;Losartana 50mg;Losartana;50mg;;;;;;ativo
23/09/2026;SET-BCB149;Mebendazol 100mg;Mebendazol;100mg;;;;;;ativo
23/09/2026;SET-C43BA1;Mebendazol 20mg/mL - Suspensão;Mebendazol;20mg/mL;suspensão;;;;;ativo
23/09/2026;SET-4956F9;Medroxiprogesterona 150mcg;Medroxiprogesterona;150mcg;;;;;;ativo
23/09/2026;SET-DE2647;Metformina 850mg;Metformina;850mg;;;;;;ativo
23/09/2026;SET-7D6BDA;Metildopa 250mg;Metildopa;250mg;;;;;;ativo
23/09/2026;SET-B3A1D9;Metildopa 500mg;Metildopa;500mg;;;;;;ativo
23/09/2026;SET-612055;Metoclopramida 10mg;Metoclopramida;10mg;;;;;;ativo
23/09/2026;SET-3C3AA3;Metoclopramida 4mg/mL - Solução Oral;Metoclopramida;4mg/mL;solução oral;;;;oral;ativo
23/09/2026;SET-FA8BFA;Metoprolol 25mg;Metoprolol;25mg;;;;;;ativo
23/09/2026;SET-536D10;Metronidazol 100mg/g - Gel Vaginal;Metronidazol;100mg/g;gel;;;;tópica;ativo
23/09/2026;SET-3725D6;Metronidazol 250mg;Metronidazol;250mg;;;;;;ativo
23/09/2026;SET-863EAC;Metronidazol 40mg/mL - Suspensão;Metronidazol;40mg/mL;suspensão;;;;;ativo
23/09/2026;SET-F6CBD0;Miconazol 2% - Loção;Miconazol;2%;loção;;;;tópica;ativo
23/09/2026;SET-22F770;Miconazol 20mg/g - Creme Vaginal;Miconazol;20mg/g;creme vaginal;;;;vaginal;ativo
23/09/2026;SET-3111FE;Montelucaste 10mg;Montelucaste;10mg;;;;;;ativo
23/09/2026;SET-898329;Neomicina 5mg/g + Bacitracina 250 UI/g - Pomada;Neomicina;5mg/g;pomada;;;;tópica;ativo
23/09/2026;SET-E4BF20;Nicotina 14mg - Adesivo;Nicotina;14mg;adesivo;;;;transdérmica;ativo
23/09/2026;SET-ECA43D;Nicotina 21mg - Adesivo;Nicotina;21mg;adesivo;;;;transdérmica;ativo
23/09/2026;SET-41F085;Nicotina 7mg - Adesivo;Nicotina;7mg;adesivo;;;;transdérmica;ativo
23/09/2026;SET-607B53;Nistatina 100.000 UI/g - Creme Vaginal;Nistatina;100.000 UI;creme vaginal;;;;vaginal;ativo
23/09/2026;SET-88CDED;Nitrofurantoína 100mg;Nitrofurantoína;100mg;;;;;;ativo
23/09/2026;SET-AF92DC;Noretisterona + Estradiol 50mg+5mg/mL;Noretisterona + Estradiol;50mg +5mg/mL;;;;;;ativo
23/09/2026;SET-2D461E;Noretisterona 0,35mg;Noretisterona;0,35mg;;;;;;ativo
23/09/2026;SET-88808B;Nortripitilina 10mg;Nortripitilina;10mg;;;;;;ativo
23/09/2026;SET-2EE806;Nortripitilina 25mg;Nortripitilina;25mg;;;;;;ativo
23/09/2026;SET-A0844D;Nortripitilina 50mg;Nortripitilina;50mg;;;;;;ativo
23/09/2026;SET-DDE683;Omeprazol 20mg;Omeprazol;20mg;;;;;;ativo
23/09/2026;SET-6D0E57;Paracetamol 200mg/mL;Paracetamol;200mg/mL;;;;;;ativo
23/09/2026;SET-6712CD;Paracetamol 500mg;Paracetamol;500mg;;;;;;ativo
23/09/2026;SET-8C7DD1;Periciazina 4%;Periciazina;4%;;;;;;ativo
23/09/2026;SET-E94DF2;Permetrina 5% - Loção;Permetrina;5%;loção;;;;tópica;ativo
23/09/2026;SET-494719;Pirimetamina 25mg;Pirimetamina;25mg;;;;;;ativo
23/09/2026;SET-688E93;Prednisolona 1mg/mL;Prednisolona;1mg/mL;;;;;;ativo
23/09/2026;SET-F88842;Prednisolona 3mg/mL;Prednisolona;3mg/mL;;;;;;ativo
23/09/2026;SET-94149C;Prednisona 20mg;Prednisona;20mg;;;;;;ativo
23/09/2026;SET-27EBD9;Prednisona 5mg;Prednisona;5mg;;;;;;ativo
23/09/2026;SET-FAAF09;Prometazina 25mg;Prometazina;25mg;;;;;;ativo
23/09/2026;SET-5BB7F2;Propranolol 40mg;Propranolol;40mg;;;;;;ativo
23/09/2026;SET-5F018C;Risperidona 1mg;Risperidona;1mg;;;;;;ativo
23/09/2026;SET-007E9D;Risperidona 2mg;Risperidona;2mg;;;;;;ativo
23/09/2026;SET-813BAF;Sais de Reidratação Oral;Sais de Reidratação Oral;;;;;;;ativo
23/09/2026;SET-5F48BF;Salbutamol 100mcg;Salbutamol;100mcg;;;;;;ativo
23/09/2026;SET-1EF859;Seringa com Agulha 100 UI;Seringa com Agulha;100 UI;;Seringa;;;;ativo
23/09/2026;SET-C29496;Seringa com Agulha 50 UI;Seringa com Agulha;50 UI;;Seringa;;;;ativo
23/09/2026;SET-77C6EE;Simeticona 75mg/mL;Simeticona;75mg/mL;;;;;;ativo
23/09/2026;SET-EBCB3B;Sinvastatina 20mg;Sinvastatina;20mg;;;;;;ativo
23/09/2026;SET-35EAD7;Sinvastatina 40mg;Sinvastatina;40mg;;;;;;ativo
23/09/2026;SET-CE9956;Sulfadiazina 500mg;Sulfadiazina;500mg;;;;;;ativo
23/09/2026;SET-894CD4;Sulfametoxazol + Trimetroprima 200mg+40mg/5mL - Suspensão Oral;Sulfametoxazol + Trimetroprima;200mg +40mg;suspensão oral;;;;oral;ativo
23/09/2026;SET-795701;Sulfametoxazol + Trimetroprima 400mg+80mg;Sulfametoxazol + Trimetroprima;400mg +80mg;;;;;;ativo
23/09/2026;SET-2D35A1;Sulfato Ferroso 125mg/mL;Sulfato Ferroso;125mg/mL;;;;;;ativo
23/09/2026;SET-86E6F3;Sulfato Ferroso 40mg;Sulfato Ferroso;40mg;;;;;;ativo
23/09/2026;SET-989B0A;Timolol 0,5% - Solução Oftálmica;Timolol;0,5%;solução oftálmica;;;;oftálmica;ativo
23/09/2026;SET-E477CA;Tioridazina 50mg;Tioridazina;50mg;;;;;;ativo
23/09/2026;SET-E67F62;Tiras de Glicemia;Tiras de Glicemia;;;;;;;ativo
23/09/2026;SET-78BABE;Varfarina 5mg;Varfarina;5mg;;;;;;ativo
23/09/2026;SET-C38816;Venlafaxina 75mg;Venlafaxina;75mg;;;;;;ativo
23/09/2026;SET-A12E35;Verapamil 80mg;Verapamil;80mg;;;;;;ativo
